Variable,Value
c,0.8084645227
h,0.2935252001
k,11.1508032469
x,0.2787700812
y,1.0872346039
w,2.3705976394
r,0.0351010101
p_hat,1.2369126559
z,1.0000000000
g,1.0150000000
k_state,11.1508032469
log_y,0.0836374118
log_c,-0.2126184813
log_x,-1.2773679187
log_h,-1.2257917827
log_k_state,2.4115115354
log_prod,1.3094291945
log_p_hat,0.2126184813
