Variable,Value
c,0.8288802935
h,0.3009374526
k,11.4323891875
x,0.2858097297
y,1.1146900232
w,2.3705976394
r,0.0351010101
phat,1.2064468269
z,1.0000000000
g,0.9900000000
k_state,11.4323891875
log_y,0.1085763602
log_c,-0.1876795329
log_x,-1.2524289704
log_h,-1.2008528344
log_k_state,2.4364504837
log_prod,1.3094291945
log_phat,0.1876795329
