Variable,Value
c,0.5819797805
h,0.2112965093
k,8.0269966635
x,0.2006749166
y,0.7826546971
w,2.3705976394
r,0.0351010101
phat,1.7182727535
z,1.0000000000
g,1.4100000000
k_state,8.0269966635
log_y,-0.2450636801
log_c,-0.5413195732
log_x,-1.6060690106
log_h,-1.5544928746
log_k_state,2.0828104435
log_prod,1.3094291945
log_phat,0.5413195732
