Variable,Value
c,0.8013588775
h,0.2909453888
k,11.0527981402
x,0.2763199535
y,1.0776788310
w,2.3705976394
r,0.0351010101
p_hat,1.2478803543
z,1.0000000000
g,1.0240000000
k_state,11.0527981402
log_y,0.0748094977
log_c,-0.2214463954
log_x,-1.2861958328
log_h,-1.2346196968
log_k_state,2.4026836213
log_prod,1.3094291945
log_p_hat,0.2214463954
